Player,team,Target,Rec,Yard,TD,pos,week,year,h/a,oppt,fd_points,fd_salary,dk_points,dk_salary,all_data,spread,total,money_odds_neg,money_odds_pos
Zach Ertz,PHI,8.0,5.0,63.0,0.0,TE,7.0,2015.0,a,CAR,8.8,5000.0,11.3,3200.0,True,2.5,46.0,-140.0,+120
Greg Olsen,CAR,5.0,3.0,65.0,0.0,TE,7.0,2015.0,h,PHI,8.0,6400.0,9.5,6100.0,True,-2.5,46.0,-140.0,+120
Kyle Rudolph,MIN,2.0,2.0,10.0,1.0,TE,7.0,2015.0,a,DET,8.0,5000.0,9.0,3100.0,True,1.0,45.0,-120.0,+100
Jason Witten,DAL,8.0,6.0,73.0,0.0,TE,7.0,2015.0,a,NYG,10.3,5600.0,13.3,4800.0,True,3.0,44.5,-160.0,+140
Jared Cook,STL,4.0,2.0,19.0,0.0,TE,7.0,2015.0,h,CLE,0.9,5200.0,2.9,2800.0,True,-6.0,44.0,-265.0,+225
Larry Donnell,NYG,5.0,4.0,18.0,0.0,TE,7.0,2015.0,h,DAL,3.8,5200.0,5.8,3300.0,True,-3.0,44.5,-160.0,+140
Jeff Cumberland,NYJ,3.0,1.0,16.0,0.0,TE,7.0,2015.0,a,NWE,2.1,4600.0,2.6,2500.0,True,7.0,47.5,-325.0,+265
Cameron Brate,TB,1.0,1.0,6.0,0.0,TE,7.0,2015.0,a,WAS,1.1,4500.0,1.6,2500.0,True,3.0,41.5,-155.0,+135
Lee Smith,OAK,2.0,2.0,1.0,0.0,TE,7.0,2015.0,a,SDG,1.1,0.0,2.1,2500.0,True,3.5,48.5,-185.0,+165
Vance McDonald,SF,1.0,1.0,1.0,0.0,TE,7.0,2015.0,h,SEA,0.6,4600.0,1.1,2500.0,True,6.5,42.0,-300.0,+250
James O'Shaughnessy,KC,2.0,1.0,2.0,0.0,TE,7.0,2015.0,h,PIT,0.7,4500.0,1.2,2500.0,True,-3.5,41.5,-185.0,+165
Michael Williams,NE,2.0,1.0,4.0,0.0,TE,7.0,2015.0,h,NYJ,0.9,,1.4,2500.0,False,-7.0,47.5,-325.0,+265
Julius Thomas,JAC,5.0,1.0,4.0,0.0,TE,7.0,2015.0,h,BUF,0.9,5600.0,1.4,4500.0,True,3.5,41.5,-185.0,+165
Cory Harkey,STL,1.0,1.0,4.0,0.0,TE,7.0,2015.0,h,CLE,0.9,4500.0,1.4,2500.0,True,-6.0,44.0,-265.0,+225
John Phillips,SD,1.0,1.0,5.0,0.0,TE,7.0,2015.0,h,OAK,1.0,4500.0,1.5,2500.0,True,-3.5,48.5,-185.0,+165
James Hanna,DAL,1.0,1.0,6.0,0.0,TE,7.0,2015.0,a,NYG,1.1,4500.0,1.6,2500.0,True,3.0,44.5,-160.0,+140
Garrett Celek,SF,1.0,1.0,8.0,0.0,TE,7.0,2015.0,h,SEA,1.3,4500.0,1.8,2500.0,True,6.5,42.0,-300.0,+250
Derek Carrier,WAS,2.0,2.0,15.0,0.0,TE,7.0,2015.0,h,TAM,2.5,4900.0,3.5,2500.0,True,-3.0,41.5,-155.0,+135
Jim Dray,CLE,2.0,2.0,10.0,0.0,TE,7.0,2015.0,a,STL,2.0,4500.0,3.0,2500.0,True,6.0,44.0,-265.0,+225
Dwayne Allen,IND,1.0,1.0,10.0,0.0,TE,7.0,2015.0,h,NOR,1.5,5000.0,2.0,2700.0,True,-5.0,53.0,-240.0,+200
Mychal Rivera,OAK,3.0,2.0,11.0,0.0,TE,7.0,2015.0,a,SDG,2.1,4900.0,3.1,2500.0,True,3.5,48.5,-185.0,+165
Tony Moeaki,ATL,1.0,1.0,11.0,0.0,TE,7.0,2015.0,a,TEN,1.6,0.0,2.1,2500.0,True,-6.0,45.5,-250.0,+210
Brent Celek,PHI,3.0,2.0,11.0,0.0,TE,7.0,2015.0,a,CAR,2.1,4700.0,3.1,2500.0,True,2.5,46.0,-140.0,+120
Tim Wright,DET,1.0,1.0,13.0,0.0,TE,7.0,2015.0,h,MIN,1.8,4500.0,2.3,2500.0,True,-1.0,45.0,-120.0,+100
MyCole Pruitt,MIN,1.0,1.0,13.0,0.0,TE,7.0,2015.0,a,DET,1.8,4500.0,2.3,2500.0,True,1.0,45.0,-120.0,+100
Marcedes Lewis,JAC,2.0,2.0,13.0,0.0,TE,7.0,2015.0,h,BUF,2.3,4600.0,3.3,2500.0,True,3.5,41.5,-185.0,+165
Travis Kelce,KC,6.0,5.0,73.0,0.0,TE,7.0,2015.0,h,PIT,9.8,6000.0,12.3,4900.0,True,-3.5,41.5,-185.0,+165
Gary Barnidge,CLE,7.0,6.0,101.0,0.0,TE,7.0,2015.0,a,STL,13.1,5900.0,19.1,4900.0,True,6.0,44.0,-265.0,+225
Kyle Rudolph,MIN,5.0,2.0,9.0,1.0,TE,6.0,2015.0,h,KAN,7.9,5000.0,8.9,3000.0,True,-3.5,43.0,-180.0,+160
Clive Walford,OAK,2.0,2.0,42.0,1.0,TE,7.0,2015.0,a,SDG,11.2,4500.0,12.2,2500.0,True,3.5,48.5,-185.0,+165
Coby Fleener,IND,6.0,3.0,20.0,0.0,TE,6.0,2015.0,h,NWE,3.5,5100.0,5.0,3000.0,True,9.0,54.0,-390.0,+320
Justin Perillo,GB,2.0,1.0,21.0,0.0,TE,6.0,2015.0,h,SDG,2.6,0.0,3.1,0.0,True,-10.5,50.5,-600.0,+450
Will Tye,NYG,3.0,2.0,22.0,0.0,TE,6.0,2015.0,a,PHI,3.2,,4.2,2500.0,False,3.5,50.5,-195.0,+170
James O'Shaughnessy,KC,3.0,2.0,23.0,0.0,TE,6.0,2015.0,a,MIN,3.3,4500.0,4.3,2500.0,True,3.5,43.0,-180.0,+160
Dwayne Allen,IND,3.0,3.0,23.0,0.0,TE,6.0,2015.0,h,NWE,3.8,5000.0,5.3,2900.0,True,9.0,54.0,-390.0,+320
Maxx Williams,BAL,4.0,4.0,24.0,0.0,TE,6.0,2015.0,a,SFO,4.4,4600.0,6.4,2800.0,True,-2.5,43.5,-145.0,+125
Ed Dickson,CAR,4.0,3.0,24.0,0.0,TE,6.0,2015.0,a,SEA,3.9,4500.0,5.4,2500.0,True,7.0,41.0,-325.0,+270
Owen Daniels,DEN,3.0,2.0,24.0,0.0,TE,6.0,2015.0,a,CLE,3.4,4900.0,4.4,2700.0,True,-3.5,42.0,-170.0,+150
Larry Donnell,NYG,5.0,3.0,29.0,0.0,TE,6.0,2015.0,a,PHI,4.4,5300.0,5.9,2800.0,True,3.5,50.5,-195.0,+170
Crockett Gillmore,BAL,6.0,3.0,30.0,0.0,TE,6.0,2015.0,a,SFO,4.5,4900.0,6.0,2700.0,True,-2.5,43.5,-145.0,+125
Jacob Tamme,ATL,5.0,3.0,32.0,0.0,TE,6.0,2015.0,a,NOR,4.7,5100.0,6.2,2500.0,True,-3.0,52.5,-165.0,+145
Richard Rodgers,GB,5.0,2.0,34.0,0.0,TE,6.0,2015.0,h,SDG,4.4,5100.0,5.4,3100.0,True,-10.5,50.5,-600.0,+450
Josh Hill,NO,5.0,3.0,38.0,0.0,TE,6.0,2015.0,h,ATL,5.3,4700.0,6.8,2500.0,True,3.0,52.5,-165.0,+145
Scott Chandler,NE,3.0,2.0,39.0,0.0,TE,6.0,2015.0,a,IND,4.9,4900.0,5.9,2500.0,True,-9.0,54.0,-390.0,+320
Derek Carrier,WAS,4.0,4.0,39.0,0.0,TE,6.0,2015.0,a,NYJ,5.9,4900.0,7.9,2500.0,True,7.5,40.0,-370.0,+310
Zach Ertz,PHI,7.0,4.0,43.0,0.0,TE,6.0,2015.0,h,NYG,6.3,5000.0,8.3,2900.0,True,-3.5,50.5,-195.0,+170
Chris Gragg,BUF,5.0,5.0,54.0,0.0,TE,6.0,2015.0,h,CIN,7.9,4500.0,10.4,2500.0,True,3.0,42.0,-160.0,+140
Martellus Bennett,CHI,11.0,6.0,59.0,0.0,TE,6.0,2015.0,a,DET,8.9,5800.0,11.9,4800.0,True,3.5,45.5,-195.0,+170
Charles Clay,BUF,13.0,9.0,62.0,0.0,TE,6.0,2015.0,h,CIN,10.7,5700.0,15.2,4300.0,True,3.0,42.0,-160.0,+140
Levine Toilolo,ATL,3.0,2.0,18.0,0.0,TE,6.0,2015.0,a,NOR,2.8,4500.0,3.8,2500.0,True,-3.0,52.5,-165.0,+145
Ryan Hewitt,CIN,2.0,1.0,16.0,0.0,TE,6.0,2015.0,a,BUF,,,2.6,2500.0,False,-3.0,42.0,-160.0,+140
Luke Willson,SEA,1.0,1.0,16.0,0.0,TE,6.0,2015.0,h,CAR,2.1,4500.0,2.6,2500.0,True,-7.0,41.0,-325.0,+270
Kellen Davis,NYJ,1.0,0.0,0.0,0.0,TE,6.0,2015.0,h,WAS,0.0,4500.0,0.0,2500.0,True,-7.5,40.0,-370.0,+310
Ladarius Green,SD,9.0,4.0,45.0,1.0,TE,7.0,2015.0,h,OAK,16.5,5100.0,18.5,2900.0,True,-3.5,48.5,-185.0,+165
Eric Ebron,DET,5.0,5.0,89.0,1.0,TE,7.0,2015.0,h,MIN,17.4,5100.0,19.9,3000.0,True,-1.0,45.0,-120.0,+100
Rob Gronkowski,NE,16.0,11.0,108.0,1.0,TE,7.0,2015.0,h,NYJ,22.3,8100.0,30.8,8100.0,True,-7.0,47.5,-325.0,+265
Jordan Reed,WAS,13.0,11.0,72.0,2.0,TE,7.0,2015.0,h,TAM,24.7,5400.0,30.2,4200.0,True,-3.0,41.5,-155.0,+135
Malcolm Johnson,CLE,1.0,1.0,0.0,0.0,TE,6.0,2015.0,h,DEN,0.5,0.0,,,False,3.5,42.0,-170.0,+150
Michael Hoomanawanui,NO,1.0,0.0,0.0,0.0,TE,6.0,2015.0,h,ATL,0.0,4600.0,0.0,2500.0,True,3.0,52.5,-165.0,+145
